category,item,keyword,unit_cost,market_price_cap,shoppable,logistics,cert,expansion,notes
욕실위생,욕실 실리콘 물막이,욕실물막이,4000,22000,10,10,10,3,검증 -4% 보합
욕실위생,무타공 욕실선반,무타공선반,6000,30000,10,10,10,5,검증 +12% 최고
욕실위생,규조토 발매트,규조토발매트,7000,28000,10,8,10,4,연중 평탄
욕실위생,배수구 머리카락 거름망,배수구거름망,1500,12000,10,10,10,5,소모품
욕실위생,절수 샤워헤드,절수샤워기,9000,38000,10,9,10,5,필터 리필 확장
욕실위생,무타공 샤워기 거치대,샤워기거치대,3500,18000,10,10,10,3,
욕실위생,욕실 슬리퍼 배수형,욕실슬리퍼,3000,16000,10,10,10,5,숙박업 B2B 가능
욕실위생,변기 커버 방수,비데커버,5000,24000,10,9,10,4,겨울 강세
욕실위생,욕실 안전손잡이,욕실안전손잡이,7000,35000,10,9,10,4,시니어 4종
욕실위생,미끄럼방지 욕실매트,욕실미끄럼방지매트,6000,26000,10,8,10,4,낙상 예방
욕실위생,칫솔 살균 거치대,칫솔살균기,12000,45000,10,9,2,3,전기용품 KC
욕실위생,욕실 코너 선반,욕실코너선반,7500,32000,10,8,10,4,
욕실위생,수건걸이 무타공,무타공수건걸이,4000,20000,10,10,10,4,
욕실위생,샤워커튼 방수,샤워커튼,6000,26000,10,9,10,4,
욕실위생,욕실 청소솔 세트,욕실청소솔,4500,20000,10,10,10,5,
욕실위생,변기 청소 스탬프,변기스탬프,3000,15000,10,10,3,5,생활화학 신고
욕실위생,곰팡이 제거 젤,곰팡이제거제,4000,18000,10,9,3,5,생활화학 신고
욕실위생,욕실 김서림방지 거울,김서림방지거울,9000,36000,10,7,10,3,
욕실위생,세면대 배수구 마개,세면대마개,2500,13000,10,10,10,4,
욕실위생,욕실 방수 시계,욕실시계,5000,22000,10,10,8,3,
주방조리,회전식 야채 다지기,야채다지기,7000,30000,10,9,6,4,영상 증명형
주방조리,스테인리스 항균 도마,스텐도마,9000,38000,10,8,5,4,식품접촉 성적서
주방조리,실리콘 조리도구 세트,실리콘주걱,6000,26000,10,10,5,5,
주방조리,오븐 가능 유리 밀폐용기,유리밀폐용기,11000,45000,10,5,5,5,파손 주의
주방조리,실리콘 냄비 덮개,실리콘냄비덮개,4000,20000,10,10,5,5,
주방조리,에어프라이어 종이호일,에어프라이어종이호일,3000,16000,10,10,5,5,소모품 재구매
주방조리,에어프라이어 실리콘 용기,에어프라이어용기,5500,24000,10,9,5,5,
주방조리,핸드드립 커피 세트,핸드드립세트,12000,48000,10,7,5,5,입문 키워드
주방조리,2L 보리차 물병,보리차병,4000,20000,10,8,5,5,여름 강세
