category,item,keyword,unit_cost,market_price_cap,shoppable,logistics,cert,expansion,notes
라켓구기,피클볼 공 세트,피클볼공,5000,22000,10,10,10,5,YoY +199% 소모품 재구매 1순위
라켓구기,피클볼 라켓 세트,피클볼라켓,18000,80000,10,9,10,5,YoY +86% 객단가 축
침구수면,경추 베개,경추베개,12000,50000,10,9,10,5,YoY +24% 구매층 30-40대
캠핑아웃도어,캠핑 웨건 접이식,캠핑웨건,42000,150000,10,3,8,3,YoY +23% 캠핑 역주행
생활수납,이불 진공압축팩,이불압축팩,4500,22000,10,10,10,5,YoY +18% 2026-06 2년 최고
욕실위생,무타공 욕실선반,무타공선반,6000,30000,10,10,10,5,YoY +12% 전월세 구조적 수요
자전거모빌리티,자전거 라이트 전후등,자전거라이트,7000,30000,10,10,4,5,YoY +9% 액세서리 중 유일 플러스
러닝피트니스,러닝 벨트 폰수납,러닝벨트,4500,25000,10,10,10,5,2년 연속 우상향 조끼 업셀
시니어안전,보행보조기 실버카,보행보조기,55000,200000,10,4,7,3,2년 무진폭 최고 객단가
욕실위생,욕실 실리콘 물막이,욕실물막이,4000,22000,10,10,10,3,-4% 보합 위탁 시작 1순위
